RECNO,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1907911,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-716655-1,DCLZ-413907,02/17/2022,02/17/2022,,38.00 ,"1,573.25 ","2,082.85 ",SEA0000601,HDMULCHM85942200,02/17/2022
1907912,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-718278-4,EMCZ-440461,02/19/2022,02/26/2022,,720.00 ,0.00 ,"1,200.60 ",SEA0000602,HDMULCHM3457270A,02/25/2022
1907913,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-719839-5,MAEC-730807,02/22/2022,03/01/2022,02/28/2022,659.00 ,142.10 ,"1,272.70 ",SEA0000603,HDMULCHM34572748,02/26/2022
1907914,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-720237-1,MAEC-752002,02/21/2022,02/28/2022,,295.00 ,0.00 ,775.60 ,SEA0000604,HDMULCHM34572728,02/21/2022
1907915,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-739637-0,MAEC-690303,02/24/2022,03/03/2022,03/02/2022,0.00 ,694.00 ,"1,176.40 ",SEA0000610,HDMULCHM3457270C,03/01/2022
1907916,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-740402-7,EMCZ-741510,02/21/2022,02/28/2022,,0.00 ,446.10 ,917.70 ,SEA0000612,HDMULCHM34572708,02/21/2022
1907918,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,CAIU-743702-0,APMZ-412520,02/25/2022,03/08/2022,,0.00 ,881.00 ,"1,363.40 ",SEA0000615,HDMULCHM34572788,03/03/2022
1907948,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-643536-1,DFLZ-401417,02/24/2022,03/11/2022,03/11/2022,0.00 ,"1,398.40 ","1,880.80 ",SEA0000740,HDMULCHM34572768,03/02/2022
1907949,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-643574-1,APMZ-425867,02/25/2022,03/08/2022,,0.00 ,916.00 ,"1,398.40 ",SEA0000741,HDMULCHM85942200,03/04/2022
1907950,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-648989-8,DCLZ-412648,02/21/2022,03/03/2022,03/03/2022,409.00 ,142.10 ,"1,031.70 ",SEA0000745,HDMULCHM34572788,02/21/2022
1907951,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-649073-3,DCLZ-414702,02/17/2022,02/18/2022,,0.00 ,76.00 ,547.60 ,SEA0000746,HDMULCHM34572738,02/17/2022
1907952,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-400979-0,DCNZ-406706,03/01/2022,03/01/2022,,0.00 ,38.00 ,520.40 ,SEA0000748,HDMULCHM10594600,03/01/2022
1907953,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-401996-8,EMCZ-240040,02/17/2022,02/22/2022,,0.00 ,228.00 ,699.60 ,SEA0000751,HDMULCHM3457270E,02/17/2022
1907954,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-402276-6,EMCZ-101358,02/17/2022,02/18/2022,,67.00 ,"1,573.25 ","2,120.85 ",SEA0000753,HDMULCHM34572718,02/17/2022
1907955,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-403357-0,CCLZ-441435,02/24/2022,03/03/2022,,0.00 ,764.00 ,"1,246.40 ",SEA0000755,HDMULCHM40018300,03/03/2022
1907956,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-404691-6,POCZ-400758,02/24/2022,03/12/2022,,0.00 ,"1,654.10 ","2,136.50 ",SEA0000757,HDMULCHM34572778,03/03/2022
1907957,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-406976-3,DCNZ-415565,03/02/2022,03/05/2022,,437.00 ,659.75 ,"1,579.15 ",SEA0000759,HDMULCHM23694900,03/04/2022
1907958,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-407177-6,DCLZ-414346,02/16/2022,02/18/2022,,105.00 ,0.00 ,585.60 ,SEA0000761,HDMULCHM08899000,02/16/2022
1907959,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-407689-1,EMCZ-545134,02/24/2022,03/07/2022,,0.00 ,951.00 ,"1,433.40 ",SEA0000763,HDMULCHM34572788,03/04/2022
1907960,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-408548-7,APMZ-417993,02/22/2022,03/03/2022,03/02/2022,840.00 ,142.10 ,"1,464.50 ",SEA0000765,HDMULCHM85942200,03/01/2022
1907961,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-408957-0,MAEC-690142,02/24/2022,03/03/2022,,0.00 ,694.00 ,"1,176.40 ",SEA0000766,HDMULCHM85942200,03/01/2022
1907962,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-409844-2,DCNZ-507331,02/21/2022,03/02/2022,02/22/2022,0.00 ,862.40 ,"1,334.00 ",SEA0000767,HDMULCHM23694900,02/21/2022
1907963,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-410480-1,OESZ-801842,02/24/2022,03/03/2022,,0.00 ,764.00 ,"1,246.40 ",SEA0000770,HDMULCHM40018300,03/03/2022
1907964,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-412153-7,EMCZ-441409,02/16/2022,02/17/2022,,67.00 ,"1,573.25 ","2,120.85 ",SEA0000771,HDMULCHM40018300,02/16/2022
1907965,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-412979-6,NEDZ-402264,02/17/2022,03/03/2022,03/03/2022,561.00 ,"1,755.95 ","2,797.55 ",SEA0000772,HDMULCHM34572708,02/17/2022
1907966,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-414919-6,MAEC-681024,02/22/2022,03/02/2022,03/03/2022,767.00 ,142.10 ,"1,380.70 ",SEA0000775,HDMULCHM34572788,02/28/2022
1907967,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-413719-5,DCNZ-507009,02/22/2022,03/07/2022,,957.00 ,142.10 ,"1,570.70 ",SEA0000773,HDMULCHM34572768,02/28/2022
1907975,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-604213-2,DCNZ-600248,02/17/2022,02/26/2022,,371.00 ,"1,573.25 ","2,424.85 ",SEA0000689,HDMULCHM34572778,02/17/2022
1907976,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-606369-1,DCNZ-507300,02/16/2022,02/18/2022,02/18/2022,105.00 ,"1,344.88 ","1,930.48 ",SEA0000691,HDMULCHM08899000,02/16/2022
1907977,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-609257-6,EMCZ-540091,02/24/2022,03/04/2022,03/04/2022,0.00 ,767.00 ,"1,249.40 ",SEA0000692,HDMULCHM66083900,03/02/2022
1907978,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-610275-6,DCLZ-416554,02/21/2022,03/03/2022,,0.00 ,808.00 ,"1,279.60 ",SEA0000694,HDMULCHM85942200,02/26/2022
1907979,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-612704-0,MAEC-689766,02/24/2022,03/08/2022,,0.00 ,954.00 ,"1,436.40 ",SEA0000695,HDMULCHM34572748,03/03/2022
1907980,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-612722-4,MAEC-691345,02/21/2022,03/01/2022,,0.00 ,732.00 ,"1,203.60 ",SEA0000696,HDMULCHM3457270A,02/26/2022
1907981,CHI,HII,SAMSDTX,UNIS BOLINGBROOK,HMMU-613822-9,DCSZ-714171,02/23/2022,03/29/2022,03/18/2022,1755.00 ,"4,120.90 ","6,358.30 ",SEA0000699,HDMULCHM85942200,03/01/2022
1907982,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-614664-6,DCLZ-416522,02/22/2022,03/11/2022,03/10/2022,1109.00 ,872.90 ,"2,453.50 ",SEA0000701,HDMULCHM85942200,02/28/2022
1907983,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-616164-0,MAEC-758876,02/25/2022,03/07/2022,,0.00 ,878.00 ,"1,360.40 ",SEA0000702,HDMULCHM08899000,03/04/2022
1907984,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-616977-0,DECZ-402391,02/21/2022,02/25/2022,,536.00 ,0.00 ,"1,016.60 ",SEA0000703,HDMULCHM85942200,02/25/2022
1907985,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-617124-8,DCNZ-807033,02/22/2022,,,425.05 ,142.10 ,"1,038.75 ",SEA0000704,HDMULCHM34572758,02/28/2022
1907986,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-617348-8,DCNZ-498663,02/16/2022,02/26/2022,,409.00 ,284.20 ,"1,173.80 ",SEA0000705,HDMULCHM3457270A,02/16/2022
1907987,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-617956-8,DCNZ-407877,02/26/2022,03/07/2022,03/07/2022,0.00 ,840.00 ,"1,322.40 ",SEA0000707,HDMULCHM08899000,03/05/2022
1907988,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-618811-1,EISZ-340019,02/21/2022,02/26/2022,,574.00 ,142.10 ,"1,196.70 ",SEA0000708,HDMULCHM40018300,02/25/2022
1907989,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-619215-3,DCNZ-415781,02/16/2022,02/28/2022,,485.00 ,"1,344.88 ","2,310.48 ",SEA0000709,HDMULCHM3457270E,02/16/2022
1907990,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-620743-8,APMZ-700806,02/24/2022,03/04/2022,03/04/2022,0.00 ,767.00 ,"1,249.40 ",SEA0000711,HDMULCHM34572728,03/02/2022
1907991,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-621082-7,MSCZ-400197,02/16/2022,02/17/2022,02/17/2022,67.00 ,"1,116.50 ","1,664.10 ",SEA0000712,HDMULCHM85942200,02/16/2022
1907992,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-621371-8,DCNZ-807045,02/22/2022,03/01/2022,,729.00 ,142.10 ,"1,342.70 ",SEA0000713,HDMULCHM34572788,02/28/2022
1907993,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-622838-5,GACZ-401376,02/22/2022,03/01/2022,,694.00 ,142.10 ,"1,307.70 ",SEA0000715,HDMULCHM84032800,02/27/2022
1907994,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-625511-7,TCLZ-404912,02/16/2022,02/16/2022,,-9.00,38.00 ,509.60 ,SEA0000718,HDMULCHM40018300,02/16/2022
1907995,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,HMMU-627378-5,DCLZ-400361,02/16/2022,02/17/2022,02/17/2022,67.00 ,"1,344.88 ","1,892.48 ",SEA0000723,HDMULCHM34572768,02/16/2022
1907999,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-415702-0,DECZ-403894,02/25/2022,03/04/2022,,0.00 ,764.00 ,"1,246.40 ",SEA0000777,HDMULCHM08899000,03/04/2022
1908000,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-415946-6,DCNZ-408882,02/22/2022,03/03/2022,03/02/2022,770.00 ,142.10 ,"1,383.70 ",SEA0000778,HDMULCHM3457270A,02/27/2022
1908001,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-417415-7,EMCZ-741224,02/22/2022,03/02/2022,03/02/2022,802.00 ,142.10 ,"1,426.50 ",SEA0000779,HDMULCHM85942200,03/01/2022
1908002,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-417772-6,DCNZ-426469,02/16/2022,02/22/2022,,257.00 ,"1,344.88 ","2,082.48 ",SEA0000780,HDMULCHM34572768,02/16/2022
1908003,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-419053-8,MAEC-752096,02/25/2022,03/08/2022,,0.00 ,916.00 ,"1,398.40 ",SEA0000782,HDMULCHM84032802,03/04/2022
1908004,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-424364-3,EMCZ-240507,02/21/2022,03/11/2022,03/10/2022,0.00 ,"2,025.50 ","2,497.10 ",SEA0000784,HDMULCHM34572728,02/26/2022
1908005,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-424738-2,NEDZ-402358,02/22/2022,03/01/2022,,295.00 ,284.20 ,"1,059.80 ",SEA0000786,HDMULCHM3457270C,02/22/2022
1908006,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU-425691-2,DCLZ-409648,02/24/2022,03/15/2022,,0.00 ,"2,281.20 ","2,763.60 ",SEA0000787,HDMULCHM3457270C,03/02/2022
