Div ,Carrier ID ,Carrier Ref ,Term,RecNo ,SStat ,MStat,Adj Date ,Adj Code,  -  Desc ,Adj Amt,Deduct Amt,Sett Amt,ToBe Paid ,B ,Bill Amt ,Billed To ,SPaid ,Check #,Recog
EQC,FLEMA,CIT-202112PBIN,CHI,1885747,99,PR,2/8/2022,MISC,TOLL VIOLATION - 90009,$25.20 ,$718.36 ,$25.20 ,2/21/2022,Y,"$1,412.50 ",DJSTXIL,02/22/2022,221656,2/21/2022
PD,ONE,UST669679,CHI,1885747,99,PR,12/14/2021,PD,PER DIEM CHARGES,"$2,400.00 ",$718.36 ,"$2,400.00 ",12/14/2021,Y,"$1,412.50 ",DJSTXIL,01/26/2022,ACH,12/14/2021
PD,MSCSC,100001291904P,CHI,1885761,99,PR,12/29/2021,PD,PER DIEM CHARGES,"$4,935.00 ",$719.82 ,"$4,935.00 ",12/29/2021,Y,"$1,228.75 ",DJSTXIL,01/26/2022,ACH,12/29/2021
YST,DELONG,001206,CHI,1885765,99,PR,1/4/2022,YST,YARD STORAGE CHARGES,$39.80 ,"$1,015.36 ",$39.80 ,1/6/2022,Y,"$1,502.50 ",DJSTXIL,01/11/2022,221369,1/6/2022
CHZ,FLEMA,15Z14047919,CHI,1885765,99,PR,12/28/2021,CR,CHASSIS RENTAL,$380.00 ,"$1,015.36 ",$380.00 ,1/4/2022,Y,"$1,502.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,ONE,UST669675,CHI,1885765,99,PR,12/14/2021,PD,PER DIEM CHARGES,"$2,800.00 ","$1,015.36 ","$2,800.00 ",12/14/2021,Y,"$1,502.50 ",DJSTXIL,01/26/2022,ACH,12/14/2021
CHZ,FLEMA,15Z14047919,CHI,1885766,99,PR,12/28/2021,CR,CHASSIS RENTAL,$380.00 ,$645.82 ,$380.00 ,1/4/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
PD,ONE,UST661642,CHI,1885766,99,PR,12/3/2021,PD,PER DIEM CHARGES,"$1,260.00 ",$645.82 ,"$1,260.00 ",12/3/2021,Y,"$1,412.50 ",DJSTXIL,01/26/2022,ACH,12/3/2021
CHZ,FLEMA,15Z14047919,CHI,1885767,99,PR,12/28/2021,CR,CHASSIS RENTAL,$142.50 ,$720.82 ,$142.50 ,1/4/2022,Y,"$1,387.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
CHZ,FLEMA,15Z14047919,CHI,1885768,99,PR,12/28/2021,CR,CHASSIS RENTAL,$166.25 ,$645.82 ,$166.25 ,1/4/2022,Y,"$1,412.50 ",DJSTXIL,01/11/2022,221362,1/4/2022
