RECNO,BILLTOID,BILLTO,PICKUPDATE,SCHEDPUTIME,BOLNUMBER,CUST_REF,Container No,TERMINAL
1908555,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/2/2022,2359,ONEYSZPBZ4419304,14388875,NYKU74206,DIT
1913015,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448409,,NYKU485183,DIT
1910663,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14425298,NYKU75868,DIT
1910664,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/28/2022,2359,ONEYLCBC01831900,14446820,NYKU495441,DIT
1910625,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/9/2022,2359,ONEYSZPBAK433404,14439754,NYKU518159,DIT
1913014,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448404,,NYKU483783,DIT
1913016,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU486640,DIT
1913011,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC22292600,,NYKU425754,DIT
1913007,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU403104,DIT
1913008,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU407581,DIT
1913005,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,NYKU79306,DIT
1913009,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSELC30011403,,NYKU422061,DIT
1913010,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC49044300,,NYKU423945,DIT
1911984,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYHANB90903600,14429845,NYKU488276,CHI
1913013,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU480061,DIT
1912685,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/30/2022,2359,ONEYSELC24682706,14459826,NYKU515619,CHI
1912684,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06890500,,NYKU430497,CHI
1910666,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14425296,NYKU527947,DIT
1910665,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/16/2022,2359,ONEYLCBC01831900,14425297,NYKU524187,DIT
1912400,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC06454403,,NYKU426361,ATL
1913012,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448406,,NYKU479313,DIT
1913006,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC51798800,,NYKU79388,DIT
1913622,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448408,,NYKU486800,DIT
1913022,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSZPC37448400,,NYKU495696,DIT
1912527,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,2359,ONEYSELC24682701,14459823,NYKU73936,CHI
1913023,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC05790300,,NYKU493321,DIT
1911738,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",3/17/2022,2359,ONEYSELBF9959807,14421692,NYKU526099,ATL
1913024,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYSGNC22292600,,NYKU493173,DIT
1913021,SAMSDTX,"SAMSUNG SDS AMERICA, INC.",,,ONEYLCBC06893800,,NYKU510329,DIT
