RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1932022,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,FANU175006,TLXZ-412945,11/18/2022,11/25/2022,,280.00 ,0.00 ,"2,664.00 ",S22I127314,HLCUSEL220924910,11/21/2022
1932023,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,FANU155312,TSXZ-654915,11/21/2022,11/25/2022,,200.00 ,0.00 ,"2,584.00 ",S22I127314,HLCUSEL220924910,11/22/2022
1932024,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,TCLU145067,EMCZ-740857,11/21/2022,11/22/2022,,80.00 ,0.00 ,"2,464.00 ",S22I127314,HLCUSEL220924910,11/22/2022
1932025,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,HLXU809430,FLGZ-650101,11/17/2022,11/25/2022,,280.00 ,0.00 ,"2,664.00 ",S22I127314,HLCUSEL220924910,11/18/2022
1932026,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,TCLU642391,TSXZ-657828,11/18/2022,11/18/2022,,40.00 ,0.00 ,"2,424.00 ",S22I127314,HLCUSEL220924910,11/18/2022
1932050,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,HLXU813929,SDSZ-400667,11/18/2022,11/21/2022,,160.00 ,-342.00,"2,202.00 ",S22I127080,HLCUSEL220924098,11/21/2022
1932051,SAV,HAP,DJSITX,TREDIT TIRE & WHEEL,HLBU328601,ACLZ-427051,11/21/2022,11/29/2022,,200.00 ,0.00 ,"2,584.00 ",S22I127080,HLCUSEL220924098,11/28/2022
1932103,ATL,ONE,ONEVA,MAZDA NORTH AMERICA OPERATIONS,TRHU700755,AIMZ-472741,11/08/2022,11/09/2022,,0.00 ,0.00 ,480.60 ,CHI4487463-CHI32943433,,11/09/2022
1932115,ATL,ONE,COOPMO,FUTURE FORWARDING COMPANY,DFSU625559,APMZ-700843,12/02/2022,12/07/2022,12/07/2022,240.00 ,0.00 ,756.80 ,1047656180-2021,ONEYSH2FC2598300,12/02/2022
1932116,ATL,ONE,COOPMO,FUTURE FORWARDING COMPANY,DFSU665658,EMCZ-740296,12/02/2022,12/09/2022,12/08/2022,390.00 ,0.00 ,906.80 ,1047656180-2021,ONEYSH2FC2598300,12/02/2022
1932117,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,FSCU961540,TLXZ-459261,12/05/2022,12/28/2022,12/23/2022,1260.00 ,"2,047.50 ","3,900.30 ",1047656180-2021,ONEYSH2FC2598300,12/05/2022
1932137,ATL,ONE,SAMSDTX,LOWE'S 3375,TCLU493379,TSXZ-652267,11/23/2022,12/09/2022,11/28/2022,0.00 ,"1,621.60 ","2,297.28 ",SEA0037713,ONEYPKGC48328500,11/23/2022
1932144,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,DRYU426690,APMZ-422278,11/22/2022,12/05/2022,12/05/2022,560.00 ,0.00 ,"1,156.70 ",1046575716-2021,ONEYSH2FC2377500,11/22/2022
1932145,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,TCKU463397,TAXZ-499446,11/22/2022,12/08/2022,12/05/2022,600.00 ,0.00 ,"1,196.70 ",1046575716-2021,ONEYSH2FC2377500,11/22/2022
1932146,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,DFSU607262,YMLZ-453566,12/02/2022,12/15/2022,,560.00 ,150.00 ,"1,302.80 ",1047658408-2021,ONEYSH2FC2599400,12/02/2022
1932147,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,TRLU760071,COZZ-449461,11/22/2022,12/05/2022,12/02/2022,560.00 ,0.00 ,"1,156.70 ",1047180523-2021,ONEYNB2IAS627300,11/22/2022
1932155,ATL,ONE,QUARTNY,TOM FOUTS TIRE,BMOU449904,TAXZ-140511,11/07/2022,11/09/2022,,120.00 ,0.00 ,738.35 ,OINYC-22070365,ONEYJKTC75588300,11/07/2022
1932156,ATL,ONE,QUARTNY,TOM FOUTS TIRE,TCNU852914,NAPZ-185860,11/07/2022,11/11/2022,,722.50 ,0.00 ,"1,355.75 ",OINYC-22070366,ONEYJKTC75589400,11/11/2022
1929298,ATL,ONE,ONEVA,MAKITA CORP.,TCLU476833,NEDZ-402749,11/02/2022,11/02/2022,,0.00 ,150.00 ,851.25 ,CHI4380664-CHI32090955,SH0YJ0834500,11/02/2022
1929314,ATL,ONE,SAMSDTX,BEST BUY #718 / SAMSUNG,NYKU443357,COZZ-461818,11/04/2022,11/10/2022,,0.00 ,"1,087.50 ","1,830.00 ",SEA0024466,ONEYLCBC21939600,11/08/2022
1929317,ATL,ONE,SAMSDTX,BEST BUY #718 / SAMSUNG,TCNU594305,TAXZ-195335,11/04/2022,11/08/2022,,0.00 ,770.00 ,"1,512.50 ",SEA0024507,ONEYLCBC21937400,11/08/2022
1929342,ATL,ONE,SAMSDTX,LOWE'S 3375,BEAU538265,TNPZ-495683,11/04/2022,11/11/2022,11/07/2022,0.00 ,380.00 ,972.52 ,SEA0024421,ONEYLCBC21949700,11/04/2022
1929346,ATL,ONE,SAMSDTX,LOWE'S 3375,NYKU070353,FLTZ-408016,11/04/2022,11/08/2022,11/07/2022,0.00 ,260.00 ,852.52 ,SEA0024455,ONEYLCBC21948600,11/04/2022
1930931,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,MOFU587854,ACLZ-427011,11/22/2022,12/02/2022,11/28/2022,400.00 ,0.00 ,996.70 ,1047180352-2021,ONEYNB2IAS629500,11/22/2022
1930932,ATL,ONE,COOPMO,COOPER LIGHTING c/o CASS,TCLU466888,NAPZ-174137,11/20/2022,11/29/2022,11/28/2022,400.00 ,0.00 ,996.70 ,1047180094-2021,ONEYNB2IAS630400,11/20/2022
1931068,ATL,ONE,OLUSANY,KOYO CORPORATION OF USA,KKFU753068,TSXZ-640898,11/03/2022,11/03/2022,,80.00 ,0.00 ,"1,760.63 ",CHOLX223702,,11/03/2022
1932282,SAV,ONE,QUARTCA,TTRC,GESU621388,FLXZ-407364,11/14/2022,11/17/2022,,160.00 ,0.00 ,"1,936.08 ",OILAX-22080281,ONEYNB2BDQ660800,11/15/2022
1932283,SAV,ONE,QUARTCA,TTRC,MOTU671675,TLXZ-451403,11/11/2022,11/17/2022,,280.00 ,0.00 ,"2,056.08 ",OILAX-22080281,ONEYNB2BDQ660800,11/14/2022
1932317,ATL,HII,SAMSDTX,LOWES ADC 3461,TCNU762093,YMLZ-425077,11/15/2022,12/04/2022,11/23/2022,0.00 ,"2,554.83 ","3,809.66 ",SEA0038398,HDMULCHM36648304,11/22/2022
1932347,ATL,MSC,ROARNY,AMWARE LOGISTICS SERVICES INC,MSMU426639,HDMZ-402744,11/21/2022,11/21/2022,,0.00 ,0.00 ,573.65 ,1050160,MEDUD7322057,11/21/2022
1932348,ATL,MSC,ROARNY,AMWARE LOGISTICS SERVICES INC,MEDU419254,MSCZ-400689,11/22/2022,11/22/2022,,0.00 ,0.00 ,573.65 ,1050159,MEDUD7507889,11/22/2022
1932394,ATL,ONE,QUARTNY,TOM FOUTS TIRE,CAIU800005,DCNZ-407095,11/19/2022,11/21/2022,,450.00 ,0.00 ,"1,195.00 ",OINYC-22070311,ONEYJKTC72680700,11/21/2022
