RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1899861,ATL,ONE,ONEVA,MAKITA CORP.,FFAU2877460,NAPZ-185783,01/13/2022,01/17/2022,,0.00 ,736.25 ,"1,214.49 ",CHI3684410-CHI26574482,SH1HT0287300,01/17/2022
1899862,ATL,ONE,ONEVA,MAKITA CORP.,NYKU4849000,YMLZ-422677,01/13/2022,01/17/2022,,0.00 ,807.50 ,"1,285.74 ",CHI3684410-CHI26574483,SH1HT0287300,01/17/2022
1900072,SAV,WHL,DMXLONH,ESSENTIAL MEDICAL SUPP,WHSU6513413,APMZ-405880,12/16/2021,12/22/2021,,626.00 ,0.00 ,"2,096.15 ",43860,WHLC031B580791,12/21/2021
1900224,ATL,HII,QUARTCA,CHATTAHOOCHEE VALLEY CROSS DOCKS &,BSIU3216768,TAXZ-247862,01/10/2022,01/13/2022,,0.00 ,0.00 ,729.00 ,QTZ-OI135647,HDMUSHAZ62240800,01/13/2022
1900225,ATL,HII,QUARTCA,CHATTAHOOCHEE VALLEY CROSS DOCKS &,KOCU2185390,EMCZ-720502,01/11/2022,01/11/2022,,125.00 ,0.00 ,854.00 ,QTZ-OI135647,HDMUSHAZ62240800,01/11/2022
1900232,ATL,HII,HYUNTX,BEST BUY #718 / SAMSUNG,GAOU6170622,DCSZ-713650,12/22/2021,12/22/2021,,0.00 ,191.25 ,738.00 ,JDAL21002206088,LCHM83991803,12/22/2021
1900272,SAV,HII,PREMICA,ACME FURNITURE,BMOU4131063,FLGZ-443612,12/16/2021,12/22/2021,,0.00 ,0.00 ,"1,188.00 ",HDMUTAOZ066256,HDMUTAOZ06625600,12/20/2021
1900273,SAV,HII,PREMICA,ACME FURNITURE,KOCU5180088,FLXZ-438974,12/16/2021,12/21/2021,,325.00 ,0.00 ,"1,513.00 ",HDMUTAOZ066256,HDMUTAOZ06625600,12/20/2021
1900282,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,FFAU1850172,DCNZ-508214,12/22/2021,01/04/2022,12/28/2021,0.00 ,259.00 ,"2,152.44 ",CHI3695035-CHI26653529,SH1HB0631300,12/24/2021
1900283,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,BSIU9785020,TSXZ-654983,12/22/2021,01/03/2022,12/30/2021,0.00 ,399.00 ,"2,292.44 ",CHI3695035-CHI26653531,SH1HB0633500,12/29/2021
1900284,SAV,ONE,ONEVA,SAMSUNG ELECTRONICS AMERICA,GAOU6548688,AIMZ-472642,12/22/2021,01/07/2022,12/30/2021,0.00 ,371.00 ,"2,264.44 ",CHI3695035-CHI26653530,SH1HB0632400,12/28/2021
1898626,ATL,ONE,ONEVA,MAKITA CORP.,TCKU1986573,APMZ-233140,01/04/2022,01/04/2022,,0.00 ,0.00 ,464.52 ,CHI3652907-CHI26334712,,01/04/2022
1898784,SAV,MSK,MAENC,NEOVIA LOGISTICS,GESU6073061,DCNZ-407120,12/15/2021,12/27/2021,12/17/2021,0.00 ,0.00 ,"1,207.80 ",CHS211008596,213749472,12/16/2021
1898785,SAV,MSK,MAENC,NEOVIA LOGISTICS,HASU4365024,APMZ-424942,12/15/2021,12/30/2021,12/28/2021,0.00 ,427.00 ,"1,634.80 ",CHS211008597,213749479,12/23/2021
1898786,SAV,MSK,MAENC,NEOVIA LOGISTICS,TEMU7944137,TAXZ-499451,12/15/2021,12/27/2021,12/21/2021,0.00 ,0.00 ,"1,207.80 ",CHS211008598,213749484,12/16/2021
1898790,SAV,MSK,MAENC,NEOVIA LOGISTICS,MSKU0605358,ZCSZ-941942,12/15/2021,01/31/2022,12/29/2021,0.00 ,"1,545.00 ","2,752.80 ",CHS211008606,213749506,12/24/2021
1898791,SAV,MSK,MAENC,NEOVIA LOGISTICS,MRSU5108761,FLXZ-423648,12/15/2021,01/05/2022,01/04/2022,0.00 ,455.00 ,"1,662.80 ",CHS211008609,213749510,12/24/2021
1898792,SAV,MSK,MAENC,NEOVIA LOGISTICS,TCLU8670120,TAXZ-434429,12/15/2021,12/27/2021,12/21/2021,0.00 ,259.00 ,"1,466.80 ",CHS211008610,213749532,12/17/2021
1898838,ATL,ONE,EURLOCA,RED STAG WAREHOUSE 2-TYS2,NYKU5996705,TSXZ-616030,01/14/2022,01/15/2022,,80.00 ,0.00 ,"1,047.95 ",ELIO21100358,ONEYNB1BP6331300,01/14/2022
1900515,ATL,HII,HYUNTX,BEST BUY #718 / SAMSUNG,BSIU9199591,TAXZ-404579,12/23/2021,12/23/2021,,0.00 ,106.25 ,653.00 ,JDAL21002206089,LCHM86142300,12/23/2021
1900516,ATL,HII,HYUNTX,BEST BUY #718 / SAMSUNG,HMMU6191563,ZCSZ-605735,12/23/2021,12/23/2021,,0.00 ,0.00 ,546.75 ,JDAL21002206090,LCHM86142301,12/23/2021
1900602,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,TLLU5568535,OESZ-803896,12/20/2021,12/24/2021,,402.00 ,0.00 ,"1,943.70 ",S21I111204,ONEYTPEB86480500,12/21/2021
1900603,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,TLLU5534875,APLZ-418639,12/20/2021,01/08/2022,,1760.00 ,"1,050.00 ","4,351.70 ",S21I112656,ONEYNB1BK0576300,01/06/2022
1900607,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,CAIU8645543,FLXX-425497,12/23/2021,01/03/2022,,987.00 ,0.00 ,"2,528.70 ",S21I111635,ONEYTS1ND6725500,12/29/2021
1900608,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,NYKU0720057,EMCZ-741825,12/21/2021,01/17/2022,,1989.00 ,0.00 ,"3,530.70 ",S21I111634,ONEYTS1TA0593300,01/05/2022
1900616,SAV,ONE,DJSITX,TREDIT TIRE & WHEEL,TLLU5428723,TAXZ-194602,01/14/2022,01/24/2022,,1150.00 ,0.00 ,"2,680.28 ",S21I114115,ONEYTS1ND6964300,01/20/2022
1900693,SAV,ONE,HANINCA,UNIFORM ADVANTAGES,NYKU9786409,TSXZ-278416,01/20/2022,01/26/2022,,200.00 ,0.00 ,"1,655.30 ",ONEYHANB73537300,ONEYHANB73537300,01/21/2022
1900694,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535250,KKLZ-602535,12/28/2021,12/28/2021,,205.00 ,0.00 ,"1,440.48 ",ELIO2111111,CMDUNBXH151803,12/28/2021
1900695,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535266,APMZ-420880,12/28/2021,01/04/2022,,205.00 ,0.00 ,"1,440.48 ",ELIO2111111,CMDUNBXH151803,12/28/2021
1900696,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535271,CCLZ-440607,12/29/2021,12/29/2021,,365.00 ,0.00 ,"1,600.48 ",ELIO2111111,CMDUNBXH151803,12/29/2021
1900697,ATL,CMA,EURLOCA,RED STAG WAREHOUSE 2-TYS2,CICU2535287,DCNZ-698211,12/29/2021,01/04/2022,,205.00 ,0.00 ,"1,440.48 ",ELIO2111111,CMDUNBXH151803,12/29/2021
