RECNO ,Ter ,SSL,ID ,Consignee,Container No,Chassis No,,,, EL Bill,,WO #,BOL #,,
1934205,CHI,MSK,SAMSDTX,UNIS BOLINGBROOK,SUDU891718,FLXZ-404981,12/06/2022,12/09/2022,12/07/2022,0.00 ,410.00 ,"1,223.20 ",SEA0041976,MAEU914638259,12/06/2022
1934206,CHI,MSK,SAMSDTX,UNIS BOLINGBROOK,TCKU704540,EMCZ-542195,12/06/2022,12/09/2022,12/07/2022,0.00 ,410.00 ,"1,223.20 ",SEA0042024,MAEU222296821,12/06/2022
1934207,CHI,HII,SAMSDTX,UNIS BOLINGBROOK,HMMU626433,APMZ-416521,12/14/2022,12/14/2022,,0.00 ,40.00 ,853.20 ,SEA0042022,HDMUSGNM73167400,12/14/2022
1934209,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,NYKU498714,FLGZ-435213,12/17/2022,12/21/2022,12/20/2022,0.00 ,200.00 ,"1,013.20 ",SEA0041652,ONEYHANC67019900,12/17/2022
1934216,MEM,CMA,COOPMO,COOPER LIGHTING,AXIU294722,TLXZ-202444,12/06/2022,12/08/2022,12/07/2022,270.00 ,0.00 ,677.70 ,1049198689-2021,CNKN801043,12/06/2022
1934218,MEM,CMA,COOPMO,COOPER LIGHTING,TRLU737836,TAXZ-459736,12/20/2022,12/21/2022,12/21/2022,230.00 ,0.00 ,803.65 ,1049276595-2021,DJA1072823,12/20/2022
1934219,MEM,MSC,COOPMO,COOPER LIGHTING,AMFU858167,APMZ-416459,12/05/2022,12/06/2022,12/06/2022,80.00 ,0.00 ,487.70 ,1048792116-2021,MEDUZD313678,12/05/2022
1934242,DIT,ONE,MEIKCA,A&W PRODUCTIONS,CXDU161562,TNPZ-262202,12/08/2022,12/08/2022,,80.00 ,0.00 ,669.05 ,31-6-2394-22,ONEYTYOCG2481300,12/08/2022
1934243,MEM,MSC,COOPMO,COOPER LIGHTING,INBU366866,DCLZ-236554,01/03/2023,01/04/2023,01/03/2023,77.62 ,0.00 ,474.52 ,1049224838-2021,MEDUOL232412,01/03/2023
1934244,DAL,MSC,COOPMO,COOPER LIGHTING LLC,MSDU234475,TNPZ-206470,12/06/2022,12/08/2022,12/07/2022,517.62 ,0.00 ,970.62 ,1049154825-2021,MEDUX4015855,12/06/2022
1934246,CHI,YML,K&NAMA,"SYSMEX REAGENTS AMERICA, INC",TCNU317816,TCLZ-408211,12/15/2022,12/28/2022,,1655.00 ,0.00 ,"2,641.85 ",6373-0238-212.018,,12/15/2022
1934248,CHI,YML,K&NAMA,"SYSMEX REAGENTS AMERICA, INC",TGBU679484,TSXZ-469556,12/14/2022,12/15/2022,,255.00 ,0.00 ,"1,241.85 ",6373-0238-212.011,,12/15/2022
1934249,CHI,MSC,COOPMO,COOPER LIGHTING,MSDU618580,OESZ-801261,12/02/2022,12/07/2022,,525.16 ,0.00 ,"1,317.91 ",1049287669-2021,MEDUX4018248,12/05/2022
1934274,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,HMMU644942,APMZ-413464,12/22/2022,12/29/2022,12/28/2022,320.00 ,0.00 ,574.59 ,503613285 ,HDMUDADM44934100,12/22/2022
1934275,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,GAOU633461,APMZ-700663,01/05/2023,01/11/2023,01/09/2023,280.00 ,0.00 ,534.59 ,503621650 ,HDMUSRGM11437900,01/05/2023
1934276,CHI,HII,ARMADPA,ROMEOVILLE IL HUB,TEMU730981,DCNZ-507319,01/05/2023,01/11/2023,01/09/2023,280.00 ,0.00 ,534.59 ,503621667 ,HDMUSRGM11437900,01/05/2023
1934277,CHI,HII,ARMADPA,UP -GLOBAL 4 (I206),HMMU644942,APMZ-413464,12/29/2022,12/29/2022,,254.59 ,0.00 ,509.18 ,503613287 ,HDMUDADM44934100,12/29/2022
1934278,CHI,HII,ARMADPA,UP -GLOBAL 4 (I206),GAOU633461,APMZ-700663,01/11/2023,01/11/2023,,254.59 ,0.00 ,509.18 ,503621635,HDMUSRGM11437900,01/11/2023
1934279,CHI,HII,ARMADPA,UP -GLOBAL 4 (I206),TEMU730981,DCNZ-507319,01/11/2023,01/12/2023,,254.59 ,0.00 ,509.18 ,503621668 ,HDMUSRGM11437900,01/11/2023
1934321,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,TCLU158501,FLXZ-921535,12/17/2022,12/28/2022,12/20/2022,0.00 ,480.00 ,"1,293.20 ",SEA0042069,ONEYHANC70850600,12/17/2022
1934322,CHI,ONE,SAMSDTX,UNIS BOLINGBROOK,TCNU419211,FHCZ-149045,12/17/2022,12/28/2022,12/23/2022,0.00 ,820.00 ,"1,633.20 ",SEA0042070,ONEYHANC70850600,12/20/2022
1934325,CHI,CMA,ACERCA,FRONTIER LOGISTICS (FKA VERSANT),TGHU511457,DCLZ-414250,12/06/2022,12/06/2022,,725.00 ,0.00 ,"1,298.75 ",231-751395284P,CMDUQDSM383439,12/06/2022
1934326,DIT,ONE,TRAUCA,SANDEN INTERNATIONAL,TCKU136506,TNPZ-208361,12/01/2022,12/01/2022,,80.00 ,0.00 ,569.60 ,TYOL221006,ONEYTYOCH2180700,12/01/2022
1934735,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU463579,TCLZ-406510,12/09/2022,12/11/2022,,0.00 ,120.00 ,804.00 ,SEA0042863,HDMUSELM82503300,12/09/2022
1934736,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU470737,DCHZ-411340,12/08/2022,12/09/2022,,0.00 ,80.00 ,764.00 ,SEA0042864,HDMUSELM30435300,12/08/2022
1934737,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,KOCU518929,POCZ-401970,12/08/2022,12/08/2022,,0.00 ,40.00 ,724.00 ,SEA0042870,HDMUSELM30435300,12/08/2022
1934738,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,TCNU169639,APMZ-420816,12/12/2022,12/14/2022,12/14/2022,0.00 ,120.00 ,804.00 ,SEA0042938,HDMUSELM26566700,12/12/2022
1934739,CHI,HII,SAMSDTX,NEOVIA LOGISTICS - A58,TLLU582181,APMZ-404898,12/08/2022,12/08/2022,,0.00 ,40.00 ,724.00 ,SEA0042963,HDMUSELM30435300,12/08/2022
1934742,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,FFAU183162,FHCZ-146620,12/09/2022,12/19/2022,,0.00 ,80.00 ,764.00 ,SEA0042821,ONEYSELCE2673805,12/09/2022
1934743,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,FFAU368170,KKLZ-406689,12/08/2022,12/09/2022,12/08/2022,0.00 ,80.00 ,764.00 ,SEA0042822,ONEYSELCE2673803,12/08/2022
1934744,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,KKFU756822,FHCZ-146097,12/07/2022,12/08/2022,,0.00 ,80.00 ,764.00 ,SEA0042847,ONEYSELCE2673803,12/08/2022
1934746,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,NYKU085713,FVXZ-176396,12/08/2022,12/09/2022,12/08/2022,0.00 ,80.00 ,764.00 ,SEA0042900,ONEYSELCE2673803,12/08/2022
1934748,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,NYKU429665,FLGZ-448162,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042903,ONEYSELCE2673801,12/08/2022
1934749,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,ONEU009959,FLXZ-415184,12/08/2022,12/09/2022,12/09/2022,0.00 ,80.00 ,764.00 ,SEA0042907,ONEYSELCE2673803,12/08/2022
1934751,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,TCLU513215,FDLZ-405088,12/09/2022,12/15/2022,,0.00 ,280.00 ,964.00 ,SEA0042931,ONEYSH1HK1112500,12/09/2022
1934753,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,TCLU642450,FHCZ-148083,12/09/2022,12/10/2022,,0.00 ,80.00 ,764.00 ,SEA0042934,ONEYSELCE2673803,12/09/2022
1934754,CHI,ONE,SAMSDTX,NEOVIA LOGISTICS - A58,TCNU751407,FLXZ-421652,12/09/2022,12/12/2022,,0.00 ,160.00 ,844.00 ,SEA0042943,ONEYSELCE2673803,12/09/2022
