"TERMINAL","RECNO","EL_DIV","EL_PR","EL_DDP","EL_ID","EL_PB","EL_PB_BILL_INFO","EL_TPP","PREFIX_CTNR","CONTAINERNO","ADJAMOUNT","VCC","ORIG_BILLTOID","CONSIGNEE","INV_DATE","DUE_DATE","DELVDATE","INGATEDATE","EMPTY_NOTIFIED","CARRIER_ID","MPA_CARR_REF","PPWK_RECVD","NBA_CHANGE","SPAID","EL_NBA"
"ATL",1917352,"MNR",185,0,0,0,"",0,"CAIU","993616",185,"N","QUARTCA","FORBUS MANUFACTURING",6/19/2022,7/19/2022,5/24/2022,5/31/2022,,"DOWNGA","400282",6/20/2022,,,0
"ATL",1908703,"MNR",190.16,0,0,0,"",0,"DRYU","956693",190.16,"N","COOPMO","COOPER LIGHTING c/o CASS",6/6/2022,7/6/2022,3/4/2022,4/11/2022,,"SACPNJ","DR000056527",6/7/2022,,7/5/2022,0
"ATL",1918830,"MNR",1050,0,0,0,"",0,"TEMU","827060",1050,"N","QUARTNY","SOUTHERN TIRE MART-BIRMINGHAM",7/9/2022,8/8/2022,6/16/2022,6/16/2022,,"DOWNGA","402478",7/11/2022,,,0
"ATL",1914987,"PD",4400,0,0,0,"",0,"MSKU","139597",4400,"N","COOPMO","COOPER LIGHTING c/o CASS",7/6/2022,8/5/2022,5/16/2022,6/14/2022,5/23/2022,"MAERNC","5260389577",7/25/2022,,,0
"ATL",1918034,"MNR",475,0,0,0,"",0,"CMAU","776345",475,"Y","SAMSDTX","LOWE'S ADC 3468",7/9/2022,8/8/2022,5/17/2022,6/21/2022,6/2/2022,"DOWNGA","402807",7/11/2022,,,0
"ATL",1914679,"PD",5250,0,0,0,"",0,"SEGU","444678",5250,"Y","SAMSDTX","LOWE'S 3375",7/18/2022,8/17/2022,5/17/2022,7/11/2022,,"ONE","UST863633",7/20/2022,,,0
"ATL",1913212,"MNR",384.8,0,0,0,"",0,"TCLU","920008",384.8,"N","ONEVA","TATSUMI GATEWAY",3/30/2022,4/29/2022,3/31/2022,3/31/2022,,"HDTIRE2","90",6/1/2022,,6/1/2022,0
"ATL",1920649,"PD",300,0,0,0,"",0,"FFAU","364903",300,"Y","SAMSDTX","LOWE'S ADC 3468",7/18/2022,8/17/2022,6/27/2022,7/14/2022,7/11/2022,"ONE","UST863652",7/20/2022,,,0
"CHI",1923631,"PD",640,0,0,0,"",0,"TCLU","509422",640,"N","DJSITX","PARTNERS FULFILLMENT",7/22/2022,8/21/2022,7/8/2022,7/18/2022,7/15/2022,"HAPAGA","2121288257",7/22/2022,,,0
"CHI",1916185,"PD",4355,0,0,0,"",0,"DRYU","976314",4355,"N","DJSITX","PARTNERS FULFILLMENT",7/18/2022,8/17/2022,6/23/2022,7/1/2022,6/27/2022,"YANGTX","DT0308674",7/20/2022,,,0
